Varenavn;Pris;Volum;Alkohol;AlkPerKrone
Tour des Gendres Bergerac 2016;209.1;2.25;13;0.139885222
Somlói Furmint 2011;80.2;0.75;13.6;0.127182045
Zantho Sankt Laurent 2015;239.9;2.25;13;0.121925802
Palacio Conde;239.9;2;14;0.116715298
Constantina Montepulciano d'Abruzzo 2014;339.9;3;13;0.114739629
Castillo de Gredos Tinto;339.9;3;13;0.114739629
Fynbos Chenin Blanc 2017;339.9;3;13;0.114739629
Riscal 1860 Tempranillo 2016;359.9;3;13.5;0.112531259
Palazzo Maffei Corvina;349;3;13;0.111747851
Casa Nostra Appassimento 2014;350;3;13;0.111428571
Berberana Dragón Tempranillo;339.9;3;12.5;0.110326567
Marques de las Cuevas;369.9;3;13.5;0.109489051
Sensawine Tempranillo Premier 2016;356.4;3;13;0.109427609
Viña Maipo Mi Pueblo Rosé 2017;329.9;3;12;0.109123977
Pata Negra Apasionado;399.9;3;14.5;0.108777194
La Tourelle 2016;359.8;3;13;0.108393552
Castillo de Gredos White;332.9;3;12;0.108140583
Dom. Castelnau Rosé Tradition 2014;79.9;0.75;11.5;0.107947434
Astica Chardonnay;350;3;12.5;0.107142857
Robertson Cabernet Sauvignon 2017;379.9;3;13.5;0.106607002
Rosemount Shiraz Cabernet 2017;379.9;3;13.5;0.106607002
Les Rives d'Alcion 2016;379.9;3;13.5;0.106607002
Wild South Shiraz Cabernet Sauvignon 2017;369.9;3;13;0.105433901
Oude Kaap Cinsault Cabernet Sauvignon;369.9;3;13;0.105433901
Marqués de Nombrevilla Garnacha 2017;399.9;3;14;0.105026257
Barone Due Leoni Appassimento 2014;399.9;3;14;0.105026257
Lunaria Puglia Primitivo 2015;399.9;3;14;0.105026257
Concha y Toro Chardonnay 2017;329.9;3;11.5;0.104577145
Altareggia Primitivo Puglia 2014;401.8;3;14;0.104529617
Fleur de Maubet 2009;1149.9;10;12;0.104356901
Chillin Cabernet Sauvignon 2016;373.9;3;13;0.104305964
Casa Nostra Organica;89.9;0.75;12.5;0.104282536
Riondo Castelforte Soave 2017;359.9;3;12.5;0.10419561
Goats do Roam 2017;389.9;3;13.5;0.103872788
Nine North Rock and Vine Three Ranches Chardonnay 2013;100.4;0.75;13.9;0.103834661
Viña Maipo Mi Pueblo Sauvignon Blanc 2017;332.9;3;11.5;0.103634725
Gosa Monastrell 2010;419.9;3;14.5;0.103596094
Sommelierens Riesling 2016;362.1;3;12.5;0.103562552
Gato Negro Sauvignon Blanc;319.9;3;11;0.103157237
Palazzo Maffei Garganega;349;3;12;0.103151862
Hardys Nottage Hill Riesling 2016;349.9;3;12;0.102886539
Caval;349.9;3;12;0.102886539
Astica Tempranillo Malbec;349.9;3;12;0.102886539
